,Posted Date,Effective Date,Transaction Description,Transaction Code Description,Check Number,Debit Amount,Credit Amount
215,4 May 2020,4 May 2020,CREDIT MEMO,0148e3b0cacd15e31a137cc8bb0f7b85,160339,0.0,50.0
216,30 Apr 2020,30 Apr 2020,SYSTEM GENERATED ADMIN. CHARGE,b8721910556ff4edcb0e4edb6706d172, ,9.0,0.0
217,30 Apr 2020,30 Apr 2020,C/A ATM/TB TRANSFER CR,77eeed553799a23cb21b432ac7102d4a,103849,0.0,600.0
218,29 Apr 2020,29 Apr 2020,C/A ATM/TB BILL PAYMENT DT,871489491c58c7ad8c147fca95a308c0,8005125,3.52,0.0
219,29 Apr 2020,29 Apr 2020,CREDIT NOTE,f284859b35d8654d4018f665c8a5e69f,960351,0.0,2071.3
220,29 Apr 2020,29 Apr 2020,C/A ATM/TB TRANSFER CR,2a2b9680140ddce2c00f1b4af1fc729e,934242,0.0,1000.0
221,28 Apr 2020,28 Apr 2020,C/A ATM/TB BILL PAYMENT DT,3521fd19f17c6e696350e82da2b3d358,880508,600.0,0.0
222,28 Apr 2020,28 Apr 2020,CUSTOMER DEPOSIT,731b65dc355b0cbe489192d3eef6e778,1111111,0.0,2290.0
223,28 Apr 2020,28 Apr 2020,CUSTOMER DEPOSIT,b7478c855557ab4790f7f1c710847d51,1111111,0.0,1454.0
224,28 Apr 2020,28 Apr 2020,CUSTOMER DEPOSIT,731b65dc355b0cbe489192d3eef6e778,1111111,0.0,1000.0
225,28 Apr 2020,28 Apr 2020,C/A ATM/TB TRANSFER CR,eecc2f150e2b83a0ac786a321bab6569,787852,0.0,600.0
226,28 Apr 2020,28 Apr 2020,C/A ATM/TB BILL PAYMENT DT,8c92f6511ad74ecfafa2d7d8025e87a4,768032,2098.13,0.0
227,28 Apr 2020,28 Apr 2020,C/A ATM/TB BILL PAYMENT DT,af0ba4789ccda5e839b70d8277dab127,768017,2098.13,0.0
228,20 Apr 2020,20 Apr 2020,C/A ATM/TB BILL PAYMENT DT,fc24dd262308144c5b67d3fe2c42a437,264490,30.0,0.0
229,20 Apr 2020,20 Apr 2020,C/A ATM/TB TRANSFER CR,7c71c5f8306da5fc1be5035a819ba094,252163,0.0,335.0
230,16 Apr 2020,16 Apr 2020,C/A ATM/TB BILL PAYMENT DT,aee16d764d2816fcd27b187e5c104571,83707,79.0,0.0
231,16 Apr 2020,16 Apr 2020,CREDIT MEMO,3129f0fa6036e2f067d3e25eee33190f,133237,0.0,100.0
232,16 Apr 2020,16 Apr 2020,CUSTOMER DEPOSIT,f5bf546a5850deb09f4b239e7d0f1c8f,833959,0.0,65.0
233,14 Apr 2020,14 Apr 2020,C/A ATM/TB BILL PAYMENT DT,a68ddacd5b1b52aa7bc1edd828d68d9a,795479,400.0,0.0
234,14 Apr 2020,14 Apr 2020,C/A ATM/TB TRANSFER DT (CHECKING TO CHECKING),6ee601144bd38a3b868167967b4babb8,795455,1518.0,0.0
235,2 Apr 2020,2 Apr 2020,DEBIT NOTE,09136b1b39775154ea8483a88728ada3, ,26.54,0.0
236,2 Apr 2020,2 Apr 2020,DEBIT NOTE,66942aa8e8566d4b30ead0047a671500, ,10.06,0.0
237,2 Apr 2020,2 Apr 2020,DEBIT NOTE,fa1d2e1c218c55c591f4a4a02e88b7b1,118997,1000.0,0.0
238,31 Mar 2020,31 Mar 2020,SYSTEM GENERATED ADMIN. CHARGE,b8721910556ff4edcb0e4edb6706d172, ,9.0,0.0
239,30 Mar 2020,30 Mar 2020,C/A ATM/TB BILL PAYMENT DT,69270e934ab8709916d4034c9e51b808,8872932,2.35,0.0
240,26 Mar 2020,26 Mar 2020,CUSTOMER DEPOSIT,1a0d2581444def574d4603a3bdcf6f04,1111111,0.0,2290.0
241,26 Mar 2020,26 Mar 2020,CUSTOMER DEPOSIT,4bdacfc37d9ca881754245b91a0474f9,1111111,0.0,1454.0
242,25 Mar 2020,25 Mar 2020,C/A ATM/TB TRANSFER CR,e1c9004aca23b3cfe06909932e057957,389749,0.0,1000.0
243,20 Mar 2020,20 Mar 2020,C/A ATM/TB BILL PAYMENT DT,5c74b53e14ed3d35e166415c54ae1518,54592,1000.0,0.0
244,20 Mar 2020,20 Mar 2020,C/A ATM/TB BILL PAYMENT DT,ce31e81143e152c478599bc475d7cad9,53969,2098.13,0.0
245,20 Mar 2020,20 Mar 2020,C/A ATM/TB BILL PAYMENT DT,1740b09038faf89bf0931af3f3ba0da3,53850,2098.13,0.0
246,19 Mar 2020,19 Mar 2020,CUSTOMER DEPOSIT,92b68500ab07b48d767e4ee70a79e719,1111111,0.0,975.0
247,18 Mar 2020,18 Mar 2020,C/A ATM/TB BILL PAYMENT DT,b5b7072a636dcdc41017228599df8dce,951646,30.0,0.0
248,17 Mar 2020,17 Mar 2020,CUSTOMER DEPOSIT,f5bf546a5850deb09f4b239e7d0f1c8f,838216,0.0,65.0
249,11 Mar 2020,11 Mar 2020,C/A ATM/TB TRANSFER CR,da2df7b2bbe78ae05ac4cea0e54a7773,329647,0.0,1000.0
250,9 Mar 2020,9 Mar 2020,C/A ATM/TB TRANSFER CR,86f14dad957d837d050252d3d31de57c,58142,0.0,1930.0
251,2 Mar 2020,2 Mar 2020,C/A ATM/TB TRANSFER DT (CHECKING TO CHECKING),6ee601144bd38a3b868167967b4babb8,497147,1535.0,0.0
